1,1,1000010101.341392
2,1,1000020202.775241
3,1,1000030303.799867
1,1,1000040404.341392
2,1,1000050505.341392
3,1,1000060606.341392
1,1,1000070707.341392
2,1,1000101010.341392
3,1,1100111111.341392
1,1,1200121212.341392
2,3,1300131313.341392
3,3,1400141414.341392
1,1,1500151515.341392
2,1,1600161616.341392
3,2,1700171717.341392
1,2,2000202020.341392
2,2,2100212121.341392
3,2,2200222222.341392
1,2,2300232323.341392
2,2,2400242424.341392
3,2,2500252525.341392
1,2,2600262626.341392
2,2,2700272727.775241
3,2,3000303030.799867
1,2,3100313131.775241
2,2,3200323232.799867
3,2,3300333333.775241
1,2,3400343434.799867
2,2,3500353535.775241
3,2,3600363636.799867
1,2,3700373737.775241
2,2,4000404040.799867
3,2,4100414141.775241
1,2,4200424242.799867
2,2,4300434343.775241
3,2,4400444444.799867
1,2,4500454545.775241
2,3,4600464646.799867
3,3,4700474747.775241
1,2,5000505050.799867
2,2,5100515151.775241
3,2,5200525252.799867
1,2,5300535353.775241
2,2,5400545454.799867
3,2,5500555555.775241
1,2,5600565656.799867
2,2,5700575757.775241
3,2,6000606060.799867
1,2,6100616161.775241
2,2,6200626262.799867
3,2,6300636363.775241
1,2,6400646464.799867
2,2,6500656565.775241
3,2,6600666666.799867
1,2,6700676767.775241
2,2,7000707070.799867
3,2,7100717171.775241
1,2,7200727272.799867
2,3,7300737373.775241
3,3,7400747474.799867
12,24,1545183718.0863814
12,24,1545183719.4971485
12,23,1545183721.7821002
12,18,1545183730.6249053
12,7,1545183736.7238944
12,1,1545183738.8928013
